,SMA,Month_,Date_,Day_,Post,Post Format,Impressions,Click-Through-Rate,Retweets/Shares,Likes,Video Views,Link Clicks,Detail Expands,Hashtag Clicks,User Profile Clicks,Media Engagements,Total Engagements,Engagements,Follows,Replies,Post/Tweet Length,Account
298,Twitter,June,2020-06-12,Friday,"For leaders looking into some of the best practices for working remotely, GitHub's team Dana Lawson and Sha Ma shares some insightful tips to help humanize the remote work experience and build trust across teams. https://t.co/Vjcpf8id15

#remoteculture #distributedteams #leaders",Article,279,0.0044,455.0,2.0,2.0,0,2.0,0.0,0.0,0.0,0,6.0,6.0,,,LinkedIn
299,LinkedIn,June,2020-06-12,Friday,"For leaders looking into some of the best practices to build global team synergy, GitHub team shares some insightful tips to help build trust across distributed teams by Dana Lawson and Sha Ma. Interesting points, techniques and experience with their teams across the globe.
 
 #collaboration #distributedteams #leadership #remoteculture #remoteworktips",Article,762,0.0118,0.0,4.0,,9,,,,,13,,,,353.0,Twitter
300,Twitter,June,2020-06-15,Monday,"With leading-edge #technology consulting and advisory services, we help clients stay ahead of changes like the cloud-native revolution, the evolution of #PaaS, #FaaS and #edgecomputing, and the rise of #AI and #machinelearning. https://t.co/TOinJYfo00 https://t.co/tjViyYc6wa",Video,275,0.0003,17339.0,1.0,0.0,8820,5.0,40.0,3.0,13.0,11,8893.0,73.0,,,LinkedIn
301,LinkedIn,June,2020-06-15,Monday,"With leading-edge #technology consulting and advisory services, we help clients stay ahead of changes like the cloud-native revolution, the evolution of #PaaS, #FaaS and #edgecomputing, and the rise of #AI and #machinelearning. https://bit.ly/2ULlgN5
 
 #Engineering #WhatWeDo #HowWeDoIt #EngineeringTeams #Scaling #Growth #EngineeringLeadership #Software #Automation",Video,2539,0.0032,1.0,5.0,869.0,8,,,,,883,,,,367.0,Facebook
302,Facebook,June,2020-06-15,Monday,"With leading-edge #technology consulting and advisory services, we help clients stay ahead of changes like the cloud-native revolution, the evolution of #PaaS, #FaaS and #edgecomputing, and the rise of #AI and #machinelearning. https://bit.ly/2ULlgN5",Video,6425,0.0051,,,3558.0,33,,,,,3596,38.0,,,3.0,Twitter
303,Twitter,June,2020-06-17,Wednesday,"Our client rapidly grew and their existing platform couldn’t handle the increased load of users and #data. Lohika was asked to review their existing system, trace the route of every event through the system and determine the solution to the problem. https://t.co/F7GWbbOueF https://t.co/r9dkdwSkKy",Article,297,0.0004,2308.0,2.0,7.0,78,1.0,32.0,0.0,32.0,78,230.0,152.0,,,LinkedIn
304,Facebook,June,2020-06-17,Wednesday,"Our client rapidly grew and their existing platform couldn’t handle the increased load of users and data. Lohika was asked to review their existing system, trace the route of every event through the system and determine the; - Auditability (when events taking too long to process) - Reliability ( a service/component resilient to failure) - Maintainability (can the architecture and code be easily maintained) - Scalability (can the components handle a spike in traffic) for every component that handles it. This is how we did it: https://bit.ly/3gYqoan",Article,6278,0.0032,,,0.0,20,,,,,20,20.0,,,1.0,Facebook
305,LinkedIn,June,2020-06-17,Wednesday,"Our client rapidly grew and their existing platform couldn’t handle the increased load of users and data. Lohika was asked to review their existing system, trace the route of every event through the system and determine the;
 
 - Auditability (when events taking too long to process)
 - Reliability ( a service/component resilient to failure)
 - Maintainability (can the architecture and code be easily maintained)
 - Scalability (can the components handle a spike in traffic) for every component that handles it.
 
 This is how we did it: https://bit.ly/3gYqoan
 
 #Engineering #WhatWeDo #HowWeDoIt #EngineeringTeams #Scaling #Growth #EngineeringLeadership #Software #Automation #Technology #SystemAudit #Consulting",Article,4306,0.0065,1.0,6.0,,28,,,,,35,,,,716.0,Twitter
306,Twitter,June,2020-06-19,Friday,"Leaders @jtryba, Senior VPE at Foursquare, Gert Drapers, VP of architecture at Hulu and @smitaw, Senior software engineer at Twitter discuss early architecture decisions, downstream effects, and architectural philosophies. https://t.co/U4dm8jsRTe

#software #scaling #leadership",Article,278,0.0,303.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,1.0,,,LinkedIn
307,LinkedIn,June,2020-06-19,Friday,"Leaders Jeremy Tryba, Senior VP of engineering at Foursquare, Gert Drapers, VP of architecture at Hulu and Smita Wadhwa, Senior software engineer at Twitter discuss early architecture decisions, downstream effects, and architectural philosophies when it comes to software architecture leadership. 
 
 #softwareengineering #scaling #leadership #softwarearchitecture #software #engineeringleadership",Article,603,0.005,1.0,6.0,,3,,,,,10,,,,397.0,Facebook
308,Twitter,June,2020-06-22,Monday,"Petuum needed to ramp up their #software #engineering team quickly to develop two prototypes within two weeks. Find out how we helped them democratize #AI by enabling them to get to market faster https://t.co/FO1qJtwqMu

#whatwedo #howwedoit #scaling #engineering #growth https://t.co/qhup81u634",Video,295,0.0,4983.0,1.0,1.0,1906,0.0,81.0,0.0,60.0,36,2085.0,179.0,,,LinkedIn
309,LinkedIn,June,2020-06-22,Monday,"Petuum needed to ramp up their software engineering team quickly to develop two prototypes within two weeks. Find out how we helped them democratize AI by enabling them to get to market faster https://bit.ly/3dCPbhR
 
 #whatwedo #howwedoit #AI #softwareengineering #scaling #engineering #growth",Video,3598,0.0086,3.0,14.0,1157.0,31,,,,,1205,,,,294.0,Twitter
310,Facebook,June,2020-06-22,Monday,Petuum needed to ramp up their software engineering team quickly to develop two prototypes within two weeks. Find out how we helped them democratize AI by enabling them to get to market faster https://bit.ly/3dCPbhR,Video,2558,0.0102,,,1646.0,26,,,,,1675,29.0,,,64.0,Twitter
311,Twitter,June,2020-06-24,Wednesday,"Lohika implemented a robust, scalable backward compatible system to one of Asia's leading low-cost airlines client using #microservices architecture and asynchronous messaging hosted in #AWS to provide a fail-safe and reliable #SSO solution. The result? https://t.co/UpbKT0C1DX https://t.co/TPaTQKTlZi",Article,301,0.0003,27077.0,4.0,8.0,55,8.0,180.0,7.0,95.0,54,414.0,359.0,,,Facebook
312,Facebook,June,2020-06-24,Wednesday,"Our client is one of Asia's leading low-cost airlines which was unable to increase sales and was losing revenue when their customers couldn’t sign in due to system overload. Lohika implemented a robust, scalable backward-compatible system using microservices architecture and asynchronous messaging hosted in AWS to provide a fail-safe and reliable SSO solution. Discover how we did it: https://bit.ly/2Mz669c #engineering #whatwedo #howwedoit #engineeringteams #scaling #growth #AWS #software #microservices #technology #consulting",Article,3874,0.0049,,,0.0,19,,,,,20,20.0,,,23.0,Facebook
313,LinkedIn,June,2020-06-24,Wednesday,"Our client is one of Asia's leading low-cost airlines which was unable to increase sales and was losing revenue when their customers couldn’t sign in due to system overload. 
 
 Lohika implemented a robust, scalable backward-compatible system using microservices architecture and asynchronous messaging hosted in AWS to provide a fail-safe and reliable SSO solution. Discover how we did it: https://bit.ly/2Mz669c
 
 #engineering #whatwedo #howwedoit #engineeringteams #scaling #growth #AWS #software #microservices #technology #consulting",Article,3796,0.0113,0.0,9.0,,43,,,,,52,,,,539.0,Twitter
314,LinkedIn,June,2020-06-26,Friday,"When folks want to invest into Diversity, Equity and Inclusion, the first reaction is often to push adoption of a handful of common practices. 
 
 However, Will Larson notes that it’s important to recognize that many of these approaches require nuanced and skilled application to yield positive results. If you're an engineering leader looking to foster inclusion within your engineering organization, here are some recommended tips: https://bit.ly/2YxVWMS
 
 #diversity #inclusion #engineeringleadership #leadership #engineers #equity",Article,538,0.0056,1.0,4.0,,3,,,,,8,,,,535.0,Twitter
315,Twitter,June,2020-06-26,Friday,"If you're an engineering leader looking to foster inclusion within your engineering organization, @lethain highlights some key structured ways on how to go about it.  https://t.co/0eeQvIfQpg

#diversity #inclusion #engineeringleadership #leadership #engineers #equity https://t.co/67VUjGMVv5",Article,291,0.0104,289.0,2.0,1.0,0,3.0,1.0,0.0,1.0,0,8.0,8.0,,,LinkedIn
316,Facebook,June,2020-06-29,Monday,"When Okta needed a partner to manage their metadata in 2013, they called in Lohika. It's been a fruitful partnership ever since, with Lohika engineering teams building mobile SDKs and managing QA. Discover how Lohika specialists can keep your fast-growing business always on. https://bit.ly/36ELaah",Graphic,2876,0.0035,,,0.0,10,,,,,11,11.0,,,26.0,Facebook
317,LinkedIn,June,2020-06-29,Monday,"When Okta needed a partner to manage their metadata in 2013, they called in Lohika. It's been a fruitful partnership ever since, with Lohika engineering teams building mobile SDKs and managing QA. Discover how Lohika specialists can keep your fast-growing business always on. https://bit.ly/36ELaah
 
 #SoftwareEngineering #Product #WhatWeDo #HowWeDoIt #EngineeringTalent #EngineeringTeams #EngineeringLeadership #Technology",Graphic,4579,0.0076,1.0,6.0,,35,,,,,42,,,,424.0,Twitter
318,Twitter,June,2020-06-29,Monday,"It's been a fruitful partnership with Okta from 2013, with Lohika engineering teams building mobile SDKs and managing QA. Discover how Lohika specialists can keep your fast-growing business always on. https://t.co/XqYStfZVcH

#WhatWeDo #HowWeDoIt #EngineeringTeams #Technology https://t.co/Qsm9W0eV6l",Graphic,300,0.0206,9625.0,1.0,1.0,9,198.0,33.0,8.0,19.0,9,278.0,269.0,,,Facebook
319,Facebook,July,2020-07-01,Wednesday,"Join us for our next Lohika-Plato HQ partnership webinar with Stacie Lang-Frederick, VPE of Collective Health as she discusses how she enables her team to launch products faster. Her secret sauce? Register now and learn how you can apply her techniques to launch faster. https://bit.ly/2YMrKhp #engineering #engineeringteams #scaling #growth #engineeringleadership #productleadership #managingpeople #leadership",Graphic,10151,0.0018,,,0.0,18,,,,,124,124.0,,,61.0,Facebook
320,Facebook,July,2020-07-02,Thursday,"Are you looking at building the next new? Lohika works at the forefront of technology, helping clients build products and services the world has never seen. Discover some of our complex core capabilities and how we can help your businesses scale and build the ‘next new’. https://bit.ly/3g5XDY5",Graphic,75,0.0,,,0.0,0,,,,,111,111.0,,,25.0,Facebook
321,Twitter,July,2020-07-02,Thursday,"Are you looking to build the next new? Lohika works at the forefront of #technology, helping clients build #products and services the world has never seen. Discover some of our complex core capabilities and how we can help your business scale. https://t.co/wvfh6njsUC https://t.co/Ly0SiCoOlD",Article,291,0.0001,11036.0,12.0,16.0,23,1.0,180.0,0.0,121.0,23,381.0,358.0,5.0,0.0,Facebook
322,Twitter,July,2020-07-02,Thursday,"Join us for our next Lohika-@platohq partnership webinar with Stacie Frederick, VPE of Collective Health as she discusses how she enables her team to launch products faster. Her secret sauce? Register here: https://t.co/1QIIiqzFuc 
 
 #engineeringleadership https://t.co/I85O0CyuB0",Graphic,281,0.0005,10504.0,8.0,16.0,6,5.0,38.0,0.0,5.0,6,85.0,79.0,1.0,0.0,LinkedIn
323,Twitter,July,2020-07-03,Friday,"If you're a CTO, Engineering Manager, or a Tech Lead, @georgeguimaraes highlights key metrics you should consider measuring and how they can help your #engineeringteam focus on the next big issue for improvement. https://t.co/MkoSleNMcB
 
 #engineering #engineeringleadership",Article,275,0.0003,28012.0,8.0,24.0,0,7.0,189.0,5.0,69.0,0,377.0,377.0,75.0,0.0,Facebook
324,LinkedIn,April,2020-07-04,Tuesday,"Client success story:

It’s our pleasure to work with David Bordow, Jeff C. Jensen and Jack Dempsey and the rest of the amazing team at Creator.

Our engineers helped deliver the highly successful Burger Creator app, working closely with sister company frog.

Cheers, David, Jeff, Jack and team!

??: Jeff shares a toast for the success of the project.

#softwaredevelopment #burgers #appdevelopment ",Image,3215,0.0283,1.0,41.0,0.0,91,,,,,133,,,,400.0,Twitter
325,Twitter,July,2020-07-06,Monday,"Are you running an on-demand delivery company that's facing a challenge to scale and deliver features to end-users in a fast, predictable, and reliable fashion? Learn about how we helped our client expand faster to other markets. https://t.co/ZdmfCXHgNr
 
 #software #scaling https://t.co/U9H8n1hFpU",Video,299,0.0001,20790.0,7.0,12.0,5896,2.0,54.0,2.0,16.0,2,5991.0,95.0,0.0,0.0,LinkedIn
326,Facebook,July,2020-07-06,Monday,"Are you running an on-demand delivery company that's facing a challenge to scale and deliver features to end users in a fast, predictable and reliable fashion? Learn about the solutions we gave our client in six weeks that enabled them to expand faster to other markets. https://bit.ly/3dz1drR #microservices #softwareengineering #scaling",Video,5528,0.0005,,,5484.0,3,,,,,5487,3.0,,,7.0,Facebook
327,Facebook,July,2020-07-07,Tuesday,"Join Stacie Frederick, VPE of Collective Health, to discover how she and her team align through common values to build products at record speed. July 8 10am PT / 1 pm ET/ 7pm CET Register now ?? https://hubs.ly/H0s1cwJ0 #engineering #engineeringteams #scaling #growth #engineeringleadership #productleadership #managingpeople #leadership",Graphic,5627,0.0037,,,0.0,21,,,,,129,129.0,,,293.0,Facebook
328,LinkedIn,July,2020-07-07,Tuesday,"Join Stacie Lang-Frederick, VPE of Collective Health, to discover how she and her team align through common values to build products at record speed. July 8 10am PT / 1 pm ET/ 7pm CET
 
 Register now ?? https://hubs.ly/H0s1cx00
 
 #engineering #engineeringteams #scaling #growth #engineeringleadership #productleadership #managingpeople #leadership",Graphic,3311,0.0094,0.0,6.0,,31,,,,,37,,,,348.0,Twitter
329,Twitter,July,2020-07-07,Tuesday,"Did you know?
 
 TOMORROW, Plato is hosting a live webinar with Stacie Frederick, VP Engineering at Collective Health ðŸ™Œ
 
 Stacie will answer questions on how she enables her team to launch products faster. You can ask her anything! Register ðŸ‘‰ https://t.co/CwDcJON3Lg https://t.co/QkCsU33dxy",Graphic,297,0.0476,8799.0,8.0,14.0,0,419.0,25.0,0.0,5.0,0,477.0,477.0,6.0,0.0,Facebook
330,LinkedIn,August,2020-07-08,Friday,"Measuring the number of deploys may be a good fit, but it should fulfill a purpose (which may not relate to productivity). 
 
 George Guimarães, CEO at SourceLevel features 5 Engineering KPIs metrics with listed candidate objectives for them to consider as an engineering leader. 
 
 #software #KPIs #engineeringmetrics #engineeringleadership #softwareengineering",Article,459,0.0,0.0,1.0,0.0,0,,,,,1,,,0.0,363.0,Facebook
331,Facebook,July,2020-07-08,Wednesday,"The #LohikaPlatoAMA Webinar is going live in an hour! Join us as we cover the latest on building high-performing & highly-motivated engineering teams, led by David Murray Co-founder at Confirm and our special guest Stacie Lang-Frederick, VPE of Collective Health. RSVP ? https://hubs.ly/H0s1cwJ0 #engineering #engineeringteams #scaling #growth #engineeringleadership #productleadership #managingpeople #leadership",Graphic,103,0.0,,,0.0,0,,,,,117,117.0,,,,Facebook
332,LinkedIn,August,2020-07-08,Friday,"We're excited to host a webinar next week with our friends at Plato ??
 
 Lawrence Bruhmuller, CTO at Optimizely, will discuss how you can form a robust management philosophy that touches how you organize teams, build culture, and strengthen relationships.
 
 Come with your best questions!
 
 Register ??
 https://lnkd.in/gRuacdT #engineeringleadership #engineeringmanagement",Graphic,3851,0.0104,2.0,9.0,0.0,40,,,,,51,,,0.0,376.0,Twitter
333,Twitter,July,2020-07-08,Wednesday,"Thereâ€™s still time to register for todayâ€™s webinar!ðŸ•™
 Stacie Frederick, VP Engineering at Collective Health will answer questions on how she enables her team to launch products faster. RSVP ðŸ‘‰ https://t.co/CwDcJON3Lg
 
 #engineering #engineeringteams #scaling #growth #leadership https://t.co/iUcGeG03nr",Article,312,0.0152,7220.0,9.0,19.0,1,110.0,30.0,4.0,6.0,1,190.0,189.0,10.0,0.0,LinkedIn
334,LinkedIn,September,2020-07-09,Monday,"Our Silicon Valley heritage is what makes us so unique: we focus on enabling growth-stage technology companies to scale their engineering organizations to get to market faster. Learn more about us at https://bit.ly/2QL0jj7 
 
 #startup #technology #saas #collaboration #engineeringteams #leadership #productdelivery #engineeringexcellence",Graphic,2093,0.011,0.0,22.0,743.0,23,,,,,788,,,0.0,338.0,Twitter
335,Twitter,July,2020-07-10,Friday,"Here's an outline of a blueprint that will help you accelerate your digital disruption initiatives, reducing your business's friction points, and transforming your company into a cost-effective enterprise according to @GundlapalliC https://t.co/HkgcayGsQE
 
 #cloud #microservices",Article,280,0.0003,35390.0,11.0,34.0,0,11.0,234.0,1.0,57.0,0,386.0,386.0,38.0,0.0,Facebook
336,LinkedIn,October,2020-07-10,Wednesday,"DigiCert ONE, a modern, holistic Enterprise PKI manager built on a completely new container-based backend infrastructure in just over a year in a collaboration between DigiCert and Lohika is an achievement that both companies are very proud of. 
 
 This case study will show you how we got there. https://bit.ly/3i3E82Q
 
 #PKI #SSL #encryption #security #growth #engineeringexcellence #technology #complexcoredevelopment #engineeringteams",Article,1757,0.0108,1.0,4.0,0.0,19,,,,,24,,,0.0,439.0,Twitter
337,LinkedIn,October,2020-07-10,Wednesday,"ELC Summit 2020, an annual celebration for engineering leaders is a 4-day virtual summit.
 
 We’re a Gold Sponsor and we’re giving away two free tickets ($395 value per ticket) ??
 
 To enter, fill out this short form on our website: https://lnkd.in/dP_5atk 
 
 #engineeringleadership #ELCSummit #ELCSummit2020 #leadership",Article,649,0.0108,0.0,3.0,0.0,7,,,,,10,,,0.0,322.0,Twitter
338,LinkedIn,October,2020-07-10,Wednesday,"One week from today! ??
 
 On October 14, 2020 at 11am PT, we'll host the next in our virtual event series, Lohika Re:think.
 
 We'll have a Q&A and breakout rooms, which give you the opportunity to connect with our host, our special guest and with each other.
 
 Hear from host Raman Frey on why he's excited to welcome Joe Pettersson, CTO at Banked : Digital Payments.
 
 To join us, register here: https://lnkd.in/gHVxTNc
 
 Hope to see you there!
 
 #virtualevent #engineeringleadership #leadershipdevelopment #engineeringmanagement",Graphic,1260,0.0127,6.0,55.0,484.0,16,,,,,562,,,1.0,536.0,Twitter
339,Facebook,July,2020-07-13,Monday,"With the introduction of lambda architecture designed to take advantage of both batch and streaming processing methods, Lohika was able to leverage fast access to historical data with real-time streaming data using Spark (Core, SQL, Streaming), Apache Parquet, etc. The result? https://bit.ly/3gdnL3b #softwareengineering #consultingandadvisory #engineering #technology #complexcorecapabilities #dataprocessing",Graphic,9941,0.0031,,,0.0,31,,,,,134,134.0,,,,Facebook
340,LinkedIn,July,2020-07-13,Monday,"With the introduction of lambda architecture designed to take advantage of both batch and streaming processing methods, Lohika was able to leverage fast access to historical data with real-time streaming data using Spark (Core, SQL, Streaming), Apache Parquet, etc. The result? https://bit.ly/3gdnL3b
 
 #softwareengineering #consultingandadvisory #engineering #technology #complexcorecapabilities #dataprocessing",Article,626,0.0048,0.0,6.0,,3,,,,,9,,,,413.0,Facebook
341,Twitter,July,2020-07-13,Monday,"With the introduction of #lambda architecture designed to take advantage of both batch and streaming processing methods, Lohika was able to leverage fast access to historical #data with real-time streaming data using Spark, Apache Parquet, etc. The result? https://t.co/JviREc3Ezj https://t.co/AWlzb3YUqx",Graphic,304,0.0078,10264.0,8.0,24.0,19,80.0,63.0,2.0,22.0,19,245.0,226.0,8.0,0.0,LinkedIn
342,LinkedIn,July,2020-07-14,Tuesday,"Lohika is thrilled to announce our new live webinar experience - ????:??????????, a series of thought-provoking conversations with visionary leaders in tech and culture, with a goal to uncover and develop actionable ways to help transform teams, products, organizations, and culture to build the next new Big Thing.
 
 Request an invitation to the first webinar series hosted by Raman Frey, Founder of Good People Dinners and our special guest Jordan Burton, founder of Burton Advisors on discussing new ways of hiring and managing distributed tech teams. ?? https://hubs.ly/H0sx2W_0
 
 #whatwedo #howwedoit #software #engineeringleadership #engineering #technology #complexcorecapabilities #rethink #growth",Graphic,3622,0.0061,3.0,14.0,,22,,,,,39,,,,707.0,Twitter
343,Facebook,July,2020-07-14,Tuesday,"Lohika is thrilled to announce our new LIVE webinar experience - ????:??????????, a series of thought-provoking conversations with visionary leaders in tech and culture, with a goal to uncover and develop actionable ways to help transform teams, products, organizations, and culture to build the next new Big Thing. Request an invitation to the first webinar series hosted by Raman Frey, Founder of Good People Dinners and our special guest Jordan Burton, founder of Burton Advisors on discussing new ways of hiring and managing distributed tech teams. ?? https://hubs.ly/H0sx3gq0 #whatwedo #howwedoit #software #engineeringleadership #engineering #technology #complexcorecapabilities #rethink #growth",Graphic,345,0.0087,,,0.0,3,,,,,12,12.0,,,,Twitter
344,Twitter,July,2020-07-14,Tuesday,"ANNOUNCING our new webinar series! ðŸ“£
  
 Lohika ð—¥ð—²:ð—§ð—µð—¶ð—»ð—¸ provides thought-provoking conversations with visionary leaders in tech and culture.
  
 Host: @RamanFrey
  
 Guest: Jordan Burton
  
 Date: July 30, 2020
  
 Request an invitation: https://t.co/Lxk0KCAT9y https://t.co/KRMC4LeHwt",Graphic,310,0.0159,13346.0,14.0,34.0,6,212.0,67.0,0.0,52.0,6,395.0,389.0,4.0,0.0,Facebook
345,Facebook,July,2020-07-14,Tuesday,Raman Frey looking forward to working with you on this!,Graphic,44,0.0227,,,0.0,1,,,,,4,4.0,,,,Twitter
346,LinkedIn,July,2020-07-15,Wednesday,"This is the story of a natural evolution from ad-hoc security testing to a mature security-aware development process driven from the bottom up by the internal security champions. Here's a look at how we do Agile and secure SDLC today. https://bit.ly/2OiD2E4
 
 #softwareengineering #consultingandadvisory #engineering #technology #complexcorecapabilities #SDLC #securitytesting #security",Article,506,0.0099,0.0,3.0,,5,,,,,8,,,,387.0,Twitter
347,Twitter,July,2020-07-15,Wednesday,This is the story of a natural evolution from ad-hoc #securitytesting to a mature security-aware development process driven from the bottom up by the internal #security champions. Here's a look at how we do #Agile and secure #SDLC today. https://t.co/XScOSUU3vW https://t.co/Hzh71l17Wb,Article,285,0.0138,8187.0,10.0,34.0,1,113.0,22.0,3.0,15.0,1,215.0,214.0,16.0,0.0,LinkedIn
348,Facebook,July,2020-07-16,Thursday,"Lohika is thrilled to announce the launch of a new LIVE event series called ???????????? ????:?????????? - ""Conversations on Building the Next New."" An intimate gathering of engineering and product leaders in the tech space looking to share thought-provoking conversations, with a goal to uncover and develop actionable ways to help transform teams, products, organizations, and culture to build the next new Big Thing. Request an invite to attend the first digital series hosted by ?????????? ????????, Founder of Good People Dinners and our special guest speaker ???????????? ????????????, founder of Burton Advisors as we discuss new ways of hiring and managing distributed tech teams. ?? https://hubs.ly/H0sx3gq0 #whatwedo #howwedoit #software #engineeringleadership #engineering #technology #complexcorecapabilities #rethink #growth",Graphic,13297,0.0049,,,0.0,65,,,,,464,464.0,,,,Facebook
349,LinkedIn,July,2020-07-16,Thursday,"Lohika is thrilled to announce the launch of a new LIVE event series called ???????????? ????:?????????? - ""Conversations on Building the Next New."" 
 
 An intimate gathering of engineering and product leaders in the tech space looking to share thought-provoking conversations, with a goal to uncover and develop actionable ways to help transform teams, products, organizations, and culture to build the next new Big Thing.
 
 Request an invite to attend the first digital series hosted by Raman Frey, Founder of Good People Dinners and our special guest speaker Jordan Burton, founder of Burton Advisors as we discuss new ways of hiring and managing distributed tech teams. ?? https://hubs.ly/H0sx2W_0
 
 #whatwedo #howwedoit #software #engineeringleadership #engineering #technology #complexcorecapabilities #rethink #growth",Graphic,1708,0.0199,10.0,26.0,,34,,,,,70,,,,826.0,Twitter
350,Twitter,July,2020-07-17,Friday,"This cadence by @DavidSacks of Craft Ventures puts the four key functions in a SaaS company (#Sales, #Finance, #Product, #Marketing) on a quarterly calendar and how the synchronization helps create a single operating philosophy for the company. https://t.co/E3QvgkrYw6",Article,268,0.0002,90036.0,14.0,45.0,0,16.0,626.0,41.0,155.0,0,933.0,933.0,36.0,0.0,Facebook
351,LinkedIn,July,2020-07-17,Friday,"This cadence by David O. Sacks of Craft Ventures puts the four key functions in a SaaS company (#Sales, #Finance, #Product, #Marketing) on a quarterly calendar and how the synchronization helps create a single operating philosophy for the company. 
 
 Insightful and well-detailed advice for all product-oriented organizations looking to graduate from a chaotic startup into an unbeatable army.
 
 #VentureCapital #Startup #SaaS #Leadership #CEO #Growth",Article,612,0.0065,1.0,9.0,,4,,,,,14,,,,453.0,Twitter
352,Twitter,July,2020-07-20,Monday,"Are you working on data migration and backward compatibility, with no performance test expertise vision on a new solution performance?
 
 Learn more about how we can help at https://t.co/OJkN0iqndz
 
 #performancetesting #engineering #technology #complexcorecapabilities #growth https://t.co/10oSR122q4",Video,302,0.0,6686.0,13.0,31.0,104,0.0,29.0,0.0,7.0,6,195.0,91.0,5.0,0.0,LinkedIn
353,LinkedIn,July,2020-07-20,Monday,"Are you working on data migration and backward compatibility, with no performance test expertise vision on a new solution performance? 
 
 Learn more about how we can help at bit.ly/32xaxe0
 
 #whatwedo #howwedoit #software #performancetesting #engineering #technology #complexcorecapabilities #rethink #growth",Video,1744,0.0098,0.0,8.0,369.0,17,,,,,394,,,,310.0,Twitter
354,Facebook,July,2020-07-20,Monday,"Are you working on data migration and backward compatibility, with no performance test expertise vision on a new solution performance? Learn more about how we can help at bit.ly/32xaxe0 #whatwedo #howwedoit #software #performancetesting #engineering #technology #complexcorecapabilities #rethink #growth",Video,54,0.0556,,,14.0,3,,,,,17,3.0,,,,Twitter
355,Twitter,July,2020-07-21,Tuesday,"As an #engineeringmanager, there is a lot to learn and master from people #management to planning and execution. @vgraupera has curated 18 great podcasts for engineering managers and leaders.
 
 Have you discovered the power of podcasts yet? https://t.co/fOQLKXBPzL
 
 #leadership https://t.co/91AWiOGc3j",Article,304,0.0006,6266.0,14.0,26.0,2,4.0,21.0,1.0,6.0,2,80.0,78.0,4.0,0.0,LinkedIn
356,LinkedIn,July,2020-07-21,Tuesday,"The first episode of our LIVE webinar series, ???????????? ????:?????????? ??
 
 Join our host Raman Frey, the Founder of Good People Dinner and Jordan Burton, founder of Burton Advisors in our first episode of Lohika Rethink as we talk about new ways of hiring and managing distributed tech teams.
 
 Request an invite: https://hubs.ly/H0sx2W_0",Graphic,4989,0.0124,1.0,6.0,,62,,,,,69,,,,345.0,Twitter
357,LinkedIn,July,2020-07-21,Tuesday,"As an engineering manager, there is a lot to learn and master from people management to planning and execution. In this article, Vidal Graupera the engineering Manager at LinkedIn has curated 18 great podcasts for engineering managers and leaders to listen to on the go. Have you discovered the power of podcasts yet? 
 
 #engineeringmanager #leadership #management #growth #engineeringleadership #engineers",Article,823,0.0231,0.0,11.0,,19,,,,,30,,,,407.0,Twitter
358,Twitter,July,2020-07-22,Wednesday,"Earlier this year, a team from @Altran and @frogdesign was selected as one (of three) winners in IBMâ€™s â€œCall for Codeâ€ Global Challenge to combat #COVID19. @dshiao profiles five technology companies helping to combat COVID-19 https://t.co/s3XCG7YakC
 
 #technology #healthtech #apps",Article,288,0.0007,8522.0,17.0,31.0,0,6.0,45.0,2.0,15.0,0,121.0,121.0,5.0,0.0,LinkedIn
359,Twitter,July,2020-07-22,Wednesday,"Request an inclusive invitation to our first LIVE series, ð—Ÿð—¼ð—µð—¶ð—¸ð—® ð—¥ð—²:ð˜ð—µð—¶ð—»ð—¸ ðŸ“º with @RamanFrey, @GPDinners founder and Jordan Burton, Burton Advisors founder on new ways of hiring and managing distributed #techteams: https://t.co/rZAXYPp703
 
 #rethink #reboot #renew https://t.co/KqTpkoHrjp",Article,330,0.0044,9610.0,11.0,26.0,9,42.0,44.0,0.0,16.0,9,160.0,151.0,3.0,0.0,LinkedIn
360,LinkedIn,July,2020-07-22,Wednesday,"Earlier this year, a team from Altran and frog (our parent company and sister company, respectively) was selected as one (of three) winners in IBM’s “???????? ?????? ????????” Global Challenge to combat COVID-19. Our team’s winning submission was the “?????? ?????? ?????????” app, a comprehensive medical assistance system that helps reduce the stress on over-taxed medical systems.
 
 Our very own Dennis Shiao ?? profiles the other five technology companies helping to combat COVID-19 and how technology plays an important role in healthcare. 
 
 #covid19 #technology #healthtech #apps #healthcare",Graphic,3642,0.0049,1.0,8.0,,18,,,,,27,,,,600.0,Facebook
361,Twitter,July,2020-07-23,Thursday,"We're excited! ðŸ™Œ
 
 @RamanFrey hosts a virtual salon series (webinar) next week with special guest Jordan Burton of Burton Advisors.
 
 Join us to hear about new ways of hiring and managing distributed tech teams.
 
 Request an invite: https://t.co/823hHGaSjL #engineering https://t.co/K1cI0PWYjy",Video,299,0.0002,19736.0,22.0,36.0,4187,4.0,112.0,1.0,29.0,28,4445.0,258.0,24.0,2.0,Facebook
